Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AUG,Auryn Resources Inc.,1.75,137333402.5,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aug
ASM,Avino Silver,1.47,77495684.91,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
AXTA,Axalta Coating Systems Ltd.,29.31,7127159028,n/a,2014,Basic Industries,Paints/Coatings,http://www.nasdaq.com/symbol/axta
BTG,B2Gold Corp,2.57,2515584647,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/btg
BCPC,Balchem Corporation,83.83,2679040900,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bcpc
BAA,BANRO CORPORATION,0.363,39842085.39,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
ABX,Barrick Gold Corporation,16.03,18695201452,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/abx
BDC,Belden Inc,83.69,3540032099,n/a,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/bdc
BHP,BHP Billiton Limited,41.27,1.09856E+11,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/bhp
BIOA,BioAmber Inc.,0.67,34849228.58,n/a,2013,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bioa
BAK,Braskem S.A.,29.5,11737071780,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bak
BBU,Brookfield Business Partners L.P.,29.71,1936655204,n/a,2016,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/bbu
BVN,Buenaventura Mining Company Inc.,14.3,3635897179,n/a,1996,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/bvn
CBT,Cabot Corporation,58.57,3644761374,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cbt
CMCL,Caledonia Mining Corporation Plc,5.6,59226076,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/cmcl
CCC,Calgon Carbon Corporation,21.45,1089504852,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ccc
CLXT,"Calyxt, Inc.",25.3,699545000,n/a,2017,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/clxt
CCJ,Cameco Corporation,9.01,3566092515,n/a,1996,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ccj
CSL,Carlisle Companies Incorporated,103.8,6557238030,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/csl
CRS,Carpenter Technology Corporation,50.09,2342085579,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/crs
CVCO,"Cavco Industries, Inc.",154.75,1395759114,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/cvco
CE,Celanese Corporation,105.6,14323201939,n/a,2005,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ce
LEU,Centrus Energy Corp.,3.6,32539503.6,n/a,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/leu
CENX,Century Aluminum Company,15.35,1340319588,n/a,1996,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/cenx
CF,"CF Industries Holdings, Inc.",36.99,8627814853,n/a,2005,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/cf
CC,Chemours Company (The),55.89,10328525710,n/a,2015,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cc
CBI,Chicago Bridge & Iron Company N.V.,16,1618711232,n/a,1997,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cbi
CADC,"China Advanced Construction Materials Group, Inc.",1.8003,4298500.697,n/a,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cadc
CGA,"China Green Agriculture, Inc.",1.28,49345619.2,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/cga
CHNR,"China Natural Resources, Inc.",2.21,55053124.36,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/chnr
CHD,"Church & Dwight Company, Inc.",46.18,11522327883,n/a,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/chd
CINR,Ciner Resources LP,25.7,507080583.4,n/a,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/cinr
CLH,"Clean Harbors, Inc.",56.21,3212629713,n/a,n/a,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/clh
CLW,Clearwater Paper Corporation,44.75,735395321.3,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/clw
CLF,Cleveland-Cliffs Inc.,7.02,2081472141,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/clf
CDXS,"Codexis, Inc.",7.3,352768171.1,n/a,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cdxs
CDE,"Coeur Mining, Inc.",8.31,1542497954,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/cde
CMC,Commercial Metals Company,21.93,2539283297,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/cmc
CMP,"Compass Minerals International, Inc.",65.35,2210402190,n/a,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/cmp
LODE,"Comstock Mining, Inc.",0.132,27723569.94,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lode
CSTM,Constellium N.V.,10.85,1146146510,n/a,2013,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/cstm
GLW,Corning Incorporated,30.06,27149700399,n/a,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/glw
